symbol,company,date,quote,open,low,high,avg_volume
MSFT,Microsoft Corporation,2024-02-16,403.3324890137,407.2254609854,402.7136101954,407.5548838807,22281100
MSFT,Microsoft Corporation,2024-02-20,402.0647888184,402.5139603199,397.2933963831,403.7617097063,24307900
MSFT,Microsoft Corporation,2024-02-21,401.455871582,399.4495112817,396.5048105424,401.5656893687,18631100
MSFT,Microsoft Corporation,2024-02-22,410.9088134766,409.4514507524,407.8343724546,412.0866815623,27009900
MSFT,Microsoft Corporation,2024-02-23,409.6011962891,414.9216169054,408.2336677909,415.1112467927,16295900
MSFT,Microsoft Corporation,2024-02-26,406.8062438965,410.7191689845,406.62654483,411.4179208387,16193500
MSFT,Microsoft Corporation,2024-02-27,406.7463378906,407.2553989144,403.1228688791,407.5848218041,14835800
MSFT,Microsoft Corporation,2024-02-28,406.9859008789,407.4450641188,404.5902281743,408.5630426835,13183100
MSFT,Microsoft Corporation,2024-02-29,412.8952636719,407.9042660767,405.1891621665,413.4542529655,31947300
MSFT,Microsoft Corporation,2024-03-01,414.7518920898,410.5294972399,410.1402152756,415.1212210307,17800300
MSFT,Microsoft Corporation,2024-03-04,414.1729736328,412.6956273218,411.5776486918,416.5985912455,17596000
MSFT,Microsoft Corporation,2024-03-05,401.9250183105,413.2146520985,399.9186580515,413.50413848,26919200
MSFT,Microsoft Corporation,2024-03-06,401.366027832,402.2444482541,397.6727080099,404.4305075663,22344100
MSFT,Microsoft Corporation,2024-03-07,408.4033813477,405.3887991896,401.5157800347,409.0422132235,18718500
MSFT,Microsoft Corporation,2024-03-08,405.4886169434,407.2254743889,403.6020051973,409.6810671818,17971700
MSFT,Microsoft Corporation,2024-03-11,403.7916564941,403.033045578,400.5375467926,404.9495715861,16120800
MSFT,Microsoft Corporation,2024-03-12,414.5322875977,406.8860757637,406.0575835814,414.8217739825,22457000
MSFT,Microsoft Corporation,2024-03-13,414.3526306152,417.3472292025,410.7092084266,417.4270717613,17115900
MSFT,Microsoft Corporation,2024-03-14,424.4544067383,419.4833620963,417.2374131465,427.0497316172,34157300
MSFT,Microsoft Corporation,2024-03-15,415.6702575684,418.5350853171,412.0467884363,421.8391232916,45049800
MSFT,Microsoft Corporation,2024-03-18,416.5686340332,413.5041541734,413.0349991771,419.9724980767,20106000
MSFT,Microsoft Corporation,2024-03-19,420.6512756348,417.07770419,414.8018104366,420.9108172656,19837900
MSFT,Microsoft Corporation,2024-03-20,424.4643859863,421.2401906224,419.9026069427,425.1930521281,17860100
MSFT,Microsoft Corporation,2024-03-21,428.5969238281,429.0560870786,426.3909114143,430.0443253199,21296200
MSFT,Microsoft Corporation,2024-03-22,427.9680480957,428.9263415582,425.3028724635,429.0860266727,17636500
MSFT,Microsoft Corporation,2024-03-25,422.0986328125,424.4743525352,420.8508834172,426.6404588889,18060500
MSFT,Microsoft Corporation,2024-03-26,420.8908081055,424.8436695492,420.5913604441,425.2229902287,16725600
MSFT,Microsoft Corporation,2024-03-27,420.6712036133,423.6757938252,418.2555779074,423.6857855681,16705000
MSFT,Microsoft Corporation,2024-03-28,419.9624938965,420.2020520279,418.3653686076,421.1104172263,21871200
MSFT,Microsoft Corporation,2024-04-01,423.8055725098,423.1866936887,421.459797573,427.119602188,16316000
MSFT,Microsoft Corporation,2024-04-02,420.6812133789,419.3535909417,417.0876889697,421.6195233764,17912000
MSFT,Microsoft Corporation,2024-04-03,419.6929931641,418.9742883035,418.3354259996,422.4979313301,16502300
MSFT,Microsoft Corporation,2024-04-04,417.1276245117,424.2248085487,416.8181850944,427.898205971,19370900
MSFT,Microsoft Corporation,2024-04-05,424.7538452148,419.2537866204,417.5668270088,425.7420834459,16544300
MSFT,Microsoft Corporation,2024-04-08,423.8255310059,424.4045037872,422.5378450941,426.5106901546,14272400
MSFT,Microsoft Corporation,2024-04-09,425.5124816895,425.672197265,420.8608683634,426.9698444301,12512300
MSFT,Microsoft Corporation,2024-04-10,422.4979248047,421.4298440421,418.9443370664,423.2665274435,16216600
MSFT,Microsoft Corporation,2024-04-11,427.1595153809,425.0533290054,421.5995367161,428.5969251337,17966400
MSFT,Microsoft Corporation,2024-04-12,421.1403808594,423.2865037831,419.01421096,424.41447414,19232100
MSFT,Microsoft Corporation,2024-04-15,412.8952636719,425.8319209089,412.6856198398,426.0515260216,20273500
MSFT,Microsoft Corporation,2024-04-16,413.8335571289,413.823595848,412.9851118793,417.646686731,16765600
MSFT,Microsoft Corporation,2024-04-17,411.0984802246,416.4987431988,409.591189225,418.1258132649,15855500
MSFT,Microsoft Corporation,2024-04-18,403.5421142578,409.8906791286,403.2227135588,411.1484202882,21029900
MSFT,Microsoft Corporation,2024-04-19,398.4013977051,403.3025611287,397.0538222262,404.7499626547,30276500
MSFT,Microsoft Corporation,2024-04-22,400.238067627,399.3596471828,395.0374567012,402.1246793259,20286900
MSFT,Microsoft Corporation,2024-04-23,406.8361816406,403.5121602129,402.3342921021,407.465052206,15734500
MSFT,Microsoft Corporation,2024-04-24,408.3234863281,408.8225860797,406.0475926794,411.7273502894,15065300
MSFT,Microsoft Corporation,2024-04-25,398.3215332031,393.3205440079,387.3313470651,399.1700088625,40586500
MSFT,Microsoft Corporation,2024-04-26,405.5884399414,411.4279132787,405.0294506422,412.2564054842,29694700
MSFT,Microsoft Corporation,2024-04-29,401.5257568359,404.5203553953,398.4712687424,405.5884361925,19582100
MSFT,Microsoft Corporation,2024-04-30,388.6289978027,400.7671073742,388.4693126899,401.4359144426,28781400
MSFT,Microsoft Corporation,2024-05-01,394.2289123535,391.9030904631,389.6072438017,400.9967037345,23562500
MSFT,Microsoft Corporation,2024-05-02,397.1236877441,396.9440191441,393.9394288835,399.2099210558,17709400
MSFT,Microsoft Corporation,2024-05-03,405.9278259277,401.5557070972,401.1364498896,406.4169339511,17446700
MSFT,Microsoft Corporation,2024-05-06,412.7954406738,408.0240481562,405.638336666,413.1847226486,16996600
MSFT,Microsoft Corporation,2024-05-07,408.6029968262,413.9134257001,408.3534469407,413.9234174436,20018200
MSFT,Microsoft Corporation,2024-05-08,409.8008422852,407.4351142805,405.9777210382,411.4878019226,11792300
MSFT,Microsoft Corporation,2024-05-09,411.5776367188,409.8307875447,408.3634330199,411.9769104374,14689700
MSFT,Microsoft Corporation,2024-05-10,413.9932556152,412.1965086797,411.0585466147,414.6321179246,13402300
MSFT,Microsoft Corporation,2024-05-13,412.9750976562,417.2573820335,410.0803252037,417.5967662074,15440200
MSFT,Microsoft Corporation,2024-05-14,415.8099975586,411.2781631217,410.8090081198,416.7383158189,15109300
MSFT,Microsoft Corporation,2024-05-15,423.0799865723,417.8999938965,417.2699890137,423.8099975586,22239500
MSFT,Microsoft Corporation,2024-05-16,420.9899902344,421.799987793,420.3500061035,425.4200134277,17530100
MSFT,Microsoft Corporation,2024-05-17,420.2099914551,422.5400085449,418.0299987793,422.9200134277,15352200
MSFT,Microsoft Corporation,2024-05-20,425.3399963379,420.2099914551,419.9899902344,426.7699890137,16272100
MSFT,Microsoft Corporation,2024-05-21,429.0400085449,426.8299865723,424.8500061035,432.9700012207,21453300
MSFT,Microsoft Corporation,2024-05-22,430.5199890137,430.0899963379,427.1300048828,432.4100036621,18073700
